time 	 desired_ee_pos 	 ee_pos
0.122121	3.69066 1.38594	3.66562 1.38577
0.123119	3.69094 1.38594	3.66578 1.38578
0.124118	3.69121 1.38594	3.66594 1.38578
0.125119	3.69149 1.38594	 3.6661 1.38578
0.126119	3.69176 1.38594	3.66627 1.38578
0.127119	3.69204 1.38594	3.66643 1.38578
0.12812	3.69231 1.38594	 3.6666 1.38578
0.129119	3.69259 1.38594	3.66676 1.38578
0.13012	3.69286 1.38594	3.66693 1.38578
0.131161	3.69313 1.38594	 3.6671 1.38578
0.132121	3.69341 1.38594	3.66727 1.38578
0.13314	3.69368 1.38594	3.66744 1.38578
0.134123	3.69396 1.38594	3.66761 1.38579
0.135119	3.69423 1.38594	3.66779 1.38579
0.136123	 3.6945 1.38594	3.66796 1.38579
0.137118	3.69478 1.38594	3.66814 1.38579
0.138119	3.69505 1.38594	3.66831 1.38579
0.139119	3.69532 1.38594	3.66849 1.38579
0.140116	 3.6956 1.38594	3.66867 1.38579
0.141115	3.69587 1.38594	3.66885 1.38579
0.142118	3.69614 1.38594	3.66903 1.38579
0.143116	3.69642 1.38594	3.66921 1.38579
0.144115	3.69669 1.38594	3.66939 1.38579
0.145115	3.69696 1.38594	3.66957  1.3858
0.146118	3.69723 1.38594	3.66975  1.3858
0.147116	 3.6975 1.38594	3.66994  1.3858
0.148115	3.69778 1.38594	3.67012  1.3858
0.149115	3.69805 1.38594	3.67031  1.3858
0.150121	3.69832 1.38594	3.6705 1.3858
0.151115	3.69859 1.38594	3.67068  1.3858
0.152127	3.69886 1.38594	3.67087  1.3858
0.153118	3.69913 1.38594	3.67106  1.3858
0.154119	 3.6994 1.38594	3.67125  1.3858
0.155116	3.69968 1.38594	3.67144  1.3858
0.156116	3.69995 1.38594	3.67164  1.3858
0.157116	3.70022 1.38594	3.67183  1.3858
0.158117	3.70049 1.38594	3.67202 1.38581
0.159115	3.70076 1.38594	3.67222 1.38581
0.160115	3.70103 1.38594	3.67241 1.38581
0.161116	 3.7013 1.38594	3.67261 1.38581
0.162118	3.70157 1.38594	 3.6728 1.38581
0.163116	3.70184 1.38594	  3.673 1.38581
0.164165	3.70211 1.38594	 3.6732 1.38581
0.165132	3.70237 1.38594	 3.6734 1.38581
0.166125	3.70264 1.38594	 3.6736 1.38581
0.167121	3.70291 1.38594	 3.6738 1.38581
