time 	 force 	 position
0.000194726	0 0	0 0
0.00950234	0 0	0 0
0.0236337	0 0	0 0
0.101778	0 0	0 0
0.202843	0 0	0 0
0.347822	0 0	0 0
0.576959	0 0	0 0
0.91249	0 0	0 0
1.49556	0 0	0 0
2.39861	0 0	0 0
3.75775	0 0	0 0
6.52534	-0.0032077  0.0140869	0.82658 1.08488
12.483	-0.0107788  0.0664923	0.673425  1.08494
25.1837	-0.0136496   0.163086	0.710961  1.09635
30.7749	0.00606628   0.295439	0.395531 0.960146
