time 	 force 	 position
0.118687	-0.753936  0.804388	1.67515 1.37312
0.119295	-0.753969   0.80442	1.67515 1.37312
0.120314	-0.753998   0.80445	1.67515 1.37312
0.121225	-0.754025  0.804478	1.67515 1.37312
0.122389	-0.754049  0.804503	1.67515 1.37312
0.123261	-0.754072  0.804525	1.67515 1.37312
0.127244	-0.754092  0.804545	1.67515 1.37312
0.127332	-0.754109  0.804563	1.67515 1.37312
0.127387	-0.754125  0.804579	1.67515 1.37312
0.12744	-0.754139  0.804592	1.67515 1.37312
0.129156	-0.754152  0.804604	1.67515 1.37312
0.129286	-0.754162  0.804615	1.67515 1.37312
0.130265	-0.754171  0.804623	1.67515 1.37312
0.131617	-0.754179  0.804631	1.67515 1.37312
0.132476	-0.754185  0.804636	1.67515 1.37312
0.133341	-0.75419 0.804641	1.67515 1.37312
0.134853	-0.754194  0.804645	1.67515 1.37312
0.135186	-0.754198  0.804647	1.67515 1.37312
0.136231	 -0.7542 0.804649	1.67515 1.37312
0.137306	-0.754201   0.80465	1.67515 1.37312
0.138358	-0.754202   0.80465	1.67515 1.37312
0.139298	-0.754202   0.80465	1.67515 1.37312
0.142229	-0.754202  0.804649	1.67515 1.37312
0.142313	-0.754201  0.804648	1.67515 1.37312
0.142369	-0.754199  0.804646	1.67515 1.37312
0.144376	-0.754198  0.804644	1.67515 1.37312
0.144714	-0.754196  0.804642	1.67515 1.37312
0.145817	-0.754194  0.804639	1.67515 1.37312
0.146134	-0.754191  0.804636	1.67515 1.37312
0.147234	-0.754189  0.804633	1.67515 1.37312
0.148931	-0.754186   0.80463	1.67515 1.37312
0.149104	-0.754183  0.804627	1.67515 1.37312
0.150337	-0.75418 0.804624	1.67515 1.37312
0.151618	-0.754178  0.804621	1.67515 1.37312
0.152165	-0.754175  0.804618	1.67515 1.37312
0.153367	-0.754172  0.804616	1.67515 1.37312
0.15425	-0.75417 0.804613	1.67515 1.37312
0.155492	-0.754167   0.80461	1.67515 1.37312
0.156141	-0.754164  0.804607	1.67515 1.37312
0.15879	-0.754162  0.804605	1.67515 1.37312
0.158897	-0.75416 0.804602	1.67515 1.37312
0.160235	-0.754158    0.8046	1.67515 1.37312
0.160301	-0.754155  0.804598	1.67515 1.37312
0.161306	-0.754153  0.804596	1.67515 1.37312
0.162757	-0.754152  0.804594	1.67515 1.37312
0.163233	-0.75415 0.804592	1.67515 1.37312
0.164456	-0.754148   0.80459	1.67515 1.37312
0.165788	-0.754147  0.804589	1.67515 1.37312
0.166165	-0.754145  0.804587	1.67515 1.37312
0.167407	-0.754144  0.804586	1.67515 1.37312
0.168209	-0.754143  0.804585	1.67515 1.37312
0.169427	-0.754142  0.804584	1.67515 1.37312
0.170359	-0.754141  0.804583	1.67515 1.37312
0.171201	-0.75414 0.804582	1.67515 1.37312
0.172272	-0.754139  0.804581	1.67515 1.37312
0.175615	-0.754138   0.80458	1.67515 1.37312
0.175724	-0.754138   0.80458	1.67515 1.37312
0.175808	-0.754137  0.804579	1.67515 1.37312
