time 	 desired_ee_pos 	 ee_pos
0.123142	3.65647 1.38594	3.65647 1.38578
0.124141	3.65647 1.38594	3.65647 1.38578
0.125141	3.65647 1.38594	3.65647 1.38578
0.126143	3.65647 1.38594	3.65647 1.38578
0.127141	3.65647 1.38594	3.65647 1.38578
0.128165	3.65647 1.38594	3.65647 1.38578
0.129156	3.65647 1.38594	3.65647 1.38578
0.130143	3.65647 1.38594	3.65647 1.38579
0.131141	3.65647 1.38594	3.65647 1.38579
0.132121	3.65647 1.38594	3.65647 1.38579
0.133116	3.65647 1.38594	3.65647 1.38579
0.134117	3.65647 1.38594	3.65647 1.38579
0.135149	3.65647 1.38594	3.65647 1.38579
0.136129	3.65647 1.38594	3.65647 1.38579
0.137118	3.65647 1.38594	3.65647 1.38579
0.138117	3.65647 1.38594	3.65647 1.38579
0.139116	3.65647 1.38594	3.65647 1.38579
0.140116	3.65647 1.38594	3.65647  1.3858
0.141116	3.65647 1.38594	3.65647  1.3858
0.142127	3.65647 1.38594	3.65647  1.3858
0.143117	3.65647 1.38594	3.65647  1.3858
0.144116	3.65647 1.38594	3.65647  1.3858
0.145116	3.65647 1.38594	3.65647  1.3858
0.146116	3.65647 1.38594	3.65647  1.3858
0.147116	3.65647 1.38594	3.65647  1.3858
0.148119	3.65647 1.38594	3.65647  1.3858
0.149116	3.65647 1.38594	3.65647  1.3858
0.15012	3.65647 1.38594	3.65647  1.3858
0.151146	3.65647 1.38594	3.65647 1.38581
0.152129	3.65647 1.38594	3.65647 1.38581
0.153118	3.65647 1.38594	3.65647 1.38581
0.154117	3.65647 1.38594	3.65647 1.38581
0.155116	3.65647 1.38594	3.65647 1.38581
0.156116	3.65647 1.38594	3.65647 1.38581
0.157116	3.65647 1.38594	3.65647 1.38581
0.158116	3.65647 1.38594	3.65647 1.38581
0.159115	3.65647 1.38594	3.65647 1.38581
0.160115	3.65647 1.38594	3.65647 1.38581
0.161129	3.65647 1.38594	3.65647 1.38581
0.16212	3.65647 1.38594	3.65647 1.38582
0.163117	3.65647 1.38594	3.65647 1.38582
0.164116	3.65647 1.38594	3.65647 1.38582
0.165121	3.65647 1.38594	3.65647 1.38582
0.166118	3.65647 1.38594	3.65647 1.38582
0.167116	3.65647 1.38594	3.65647 1.38582
0.168147	3.65647 1.38594	3.65647 1.38582
0.169154	3.65647 1.38594	3.65647 1.38582
0.170126	3.65647 1.38594	3.65647 1.38582
0.171119	3.65647 1.38594	3.65647 1.38582
0.172117	3.65647 1.38594	3.65647 1.38582
0.173117	3.65647 1.38594	3.65647 1.38582
0.174118	3.65647 1.38594	3.65647 1.38582
0.175117	3.65647 1.38594	3.65647 1.38583
0.176116	3.65647 1.38594	3.65647 1.38583
0.177116	3.65647 1.38594	3.65647 1.38583
0.178119	3.65647 1.38594	3.65647 1.38583
0.179116	3.65647 1.38594	3.65647 1.38583
0.180116	3.65647 1.38594	3.65647 1.38583
0.181116	3.65647 1.38594	3.65647 1.38583
0.182121	3.65647 1.38594	3.65647 1.38583
0.183116	3.65647 1.38594	3.65647 1.38583
0.184116	3.65647 1.38594	3.65647 1.38583
0.185155	3.65647 1.38594	3.65647 1.38583
0.186127	3.65647 1.38594	3.65647 1.38583
0.187118	3.65647 1.38594	3.65647 1.38583
0.188116	3.65647 1.38594	3.65647 1.38583
0.189116	3.65647 1.38594	3.65647 1.38584
0.190118	3.65647 1.38594	3.65647 1.38584
0.191116	3.65647 1.38594	3.65647 1.38584
0.192116	3.65647 1.38594	3.65647 1.38584
0.193117	3.65647 1.38594	3.65647 1.38584
0.194119	3.65647 1.38594	3.65647 1.38584
0.195127	3.65647 1.38594	3.65647 1.38584
0.196126	3.65647 1.38594	3.65647 1.38584
0.19712	3.65647 1.38594	3.65647 1.38584
0.198126	3.65647 1.38594	3.65647 1.38584
0.199122	3.65647 1.38594	3.65647 1.38584
0.200155	3.65647 1.38594	3.65647 1.38584
0.201127	3.65647 1.38594	3.65647 1.38584
0.202142	3.65647 1.38594	3.65647 1.38584
0.20315	3.65647 1.38594	3.65647 1.38584
0.204126	3.65647 1.38594	3.65647 1.38584
0.205118	3.65647 1.38594	3.65647 1.38585
0.206117	3.65647 1.38594	3.65647 1.38585
0.207116	3.65647 1.38594	3.65647 1.38585
0.208115	3.65647 1.38594	3.65647 1.38585
0.209115	3.65647 1.38594	3.65647 1.38585
0.210116	3.65647 1.38594	3.65647 1.38585
0.211115	3.65647 1.38594	3.65647 1.38585
0.212115	3.65647 1.38594	3.65647 1.38585
0.213115	3.65647 1.38594	3.65647 1.38585
0.214117	3.65647 1.38594	3.65647 1.38585
0.215118	3.65647 1.38594	3.65647 1.38585
